,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Alameda,313,0,8,0
1,04-01-2020,Alpine,1,0,0,0
2,04-01-2020,Amador,2,0,0,0
3,04-01-2020,Butte,8,0,0,0
4,04-01-2020,Calaveras,3,0,0,0
5,04-01-2020,Colusa,1,0,0,0
6,04-01-2020,Contra Costa,249,0,3,0
7,04-01-2020,El Dorado,18,0,0,0
8,04-01-2020,Fresno,68,0,0,0
9,04-01-2020,Glenn,2,0,0,0
10,04-01-2020,Humboldt,27,0,0,0
11,04-01-2020,Imperial,38,0,0,0
12,04-01-2020,Inyo,9,0,0,0
13,04-01-2020,Kern,126,0,1,0
14,04-01-2020,Kings,4,0,0,0
15,04-01-2020,Los Angeles,3518,0,64,0
16,04-01-2020,Madera,23,0,1,0
17,04-01-2020,Marin,107,0,4,0
18,04-01-2020,Mendocino,4,0,0,0
19,04-01-2020,Merced,10,0,0,0
20,04-01-2020,Mono,13,0,1,0
21,04-01-2020,Monterey,42,0,1,0
22,04-01-2020,Napa,15,0,0,0
23,04-01-2020,Nevada,26,0,0,0
24,04-01-2020,Orange,606,0,10,0
25,04-01-2020,Placer,78,0,2,0
26,04-01-2020,Plumas,1,0,0,0
27,04-01-2020,Riverside,371,0,13,0
28,04-01-2020,Sacramento,224,0,7,0
29,04-01-2020,San Benito,21,0,1,0
30,04-01-2020,San Bernardino,183,0,5,0
31,04-01-2020,San Diego,733,0,9,0
32,04-01-2020,San Francisco,434,0,7,0
33,04-01-2020,San Joaquin,151,0,8,0
34,04-01-2020,San Luis Obispo,80,0,0,0
35,04-01-2020,San Mateo,388,0,10,0
36,04-01-2020,Santa Barbara,99,0,0,0
37,04-01-2020,Santa Clara,956,0,33,0
38,04-01-2020,Santa Cruz,49,0,1,0
39,04-01-2020,Shasta,7,0,1,0
40,04-01-2020,Siskiyou,3,0,0,0
41,04-01-2020,Solano,49,0,0,0
42,04-01-2020,Sonoma,78,0,2,0
43,04-01-2020,Stanislaus,44,0,0,0
44,04-01-2020,Sutter,10,0,0,0
45,04-01-2020,Tulare,45,0,1,0
46,04-01-2020,Tuolumne,2,0,0,0
47,04-01-2020,Unassigned,0,0,1,0
48,04-01-2020,Ventura,149,0,5,0
49,04-01-2020,Yolo,25,0,1,0
50,04-01-2020,Yuba,7,0,0,0
51,04-02-2020,Alameda,359,0,10,0
52,04-02-2020,Alpine,1,0,0,0
53,04-02-2020,Amador,3,0,0,0
54,04-02-2020,Butte,9,0,0,0
55,04-02-2020,Calaveras,3,0,0,0
56,04-02-2020,Colusa,1,0,0,0
57,04-02-2020,Contra Costa,250,0,3,0
58,04-02-2020,El Dorado,18,0,0,0
59,04-02-2020,Fresno,82,0,0,0
60,04-02-2020,Glenn,2,0,0,0
61,04-02-2020,Humboldt,28,0,0,0
62,04-02-2020,Imperial,43,0,1,0
63,04-02-2020,Inyo,9,0,0,0
64,04-02-2020,Kern,155,0,1,0
65,04-02-2020,Kings,5,0,0,0
66,04-02-2020,Los Angeles,4045,0,78,0
67,04-02-2020,Madera,25,0,1,0
68,04-02-2020,Marin,108,0,6,0
69,04-02-2020,Mendocino,4,0,0,0
70,04-02-2020,Merced,12,0,0,0
71,04-02-2020,Mono,18,0,1,0
72,04-02-2020,Monterey,48,0,2,0
73,04-02-2020,Napa,18,0,1,0
74,04-02-2020,Nevada,26,0,0,0
75,04-02-2020,Orange,656,0,13,0
76,04-02-2020,Placer,90,0,2,0
77,04-02-2020,Plumas,1,0,0,0
78,04-02-2020,Riverside,493,0,14,0
79,04-02-2020,Sacramento,314,0,9,0
80,04-02-2020,San Benito,23,0,1,0
81,04-02-2020,San Bernardino,254,0,5,0
82,04-02-2020,San Diego,849,0,15,0
83,04-02-2020,San Francisco,450,0,7,0
84,04-02-2020,San Joaquin,173,0,9,0
85,04-02-2020,San Luis Obispo,89,0,0,0
86,04-02-2020,San Mateo,453,0,10,0
87,04-02-2020,Santa Barbara,111,0,1,0
88,04-02-2020,Santa Clara,1019,0,38,0
89,04-02-2020,Santa Cruz,54,0,1,0
90,04-02-2020,Shasta,7,0,1,0
91,04-02-2020,Siskiyou,3,0,0,0
92,04-02-2020,Solano,54,0,0,0
93,04-02-2020,Sonoma,91,0,2,0
94,04-02-2020,Stanislaus,50,0,0,0
95,04-02-2020,Sutter,14,0,1,0
96,04-02-2020,Tulare,74,0,2,0
97,04-02-2020,Tuolumne,2,0,0,0
98,04-02-2020,Unassigned,0,0,0,0
99,04-02-2020,Ventura,160,0,5,0
100,04-02-2020,Yolo,28,0,1,0
101,04-02-2020,Yuba,8,0,0,0
102,04-03-2020,Alameda,443,0,11,0
103,04-03-2020,Alpine,1,0,0,0
104,04-03-2020,Amador,3,0,0,0
105,04-03-2020,Butte,10,0,0,0
106,04-03-2020,Calaveras,3,0,0,0
107,04-03-2020,Colusa,1,0,0,0
108,04-03-2020,Contra Costa,307,0,3,0
109,04-03-2020,Del Norte,1,0,0,0
110,04-03-2020,El Dorado,19,0,0,0
111,04-03-2020,Fresno,94,0,0,0
112,04-03-2020,Glenn,2,0,0,0
113,04-03-2020,Humboldt,37,0,0,0
114,04-03-2020,Imperial,52,0,1,0
115,04-03-2020,Inyo,10,0,0,0
116,04-03-2020,Kern,194,0,2,0
117,04-03-2020,Kings,5,0,0,0
118,04-03-2020,Los Angeles,4566,0,89,0
119,04-03-2020,Madera,28,0,1,0
120,04-03-2020,Marin,118,0,6,0
121,04-03-2020,Mendocino,4,0,0,0
122,04-03-2020,Merced,16,0,0,0
123,04-03-2020,Mono,18,0,1,0
124,04-03-2020,Monterey,53,0,2,0
125,04-03-2020,Napa,18,0,1,0
126,04-03-2020,Nevada,30,0,0,0
127,04-03-2020,Orange,711,0,13,0
128,04-03-2020,Placer,97,0,2,0
129,04-03-2020,Plumas,1,0,0,0
130,04-03-2020,Riverside,493,0,14,0
131,04-03-2020,Sacramento,390,0,10,0
132,04-03-2020,San Benito,23,0,1,0
133,04-03-2020,San Bernardino,304,0,8,0
134,04-03-2020,San Diego,966,0,16,0
135,04-03-2020,San Francisco,497,0,7,0
136,04-03-2020,San Joaquin,180,0,9,0
137,04-03-2020,San Luis Obispo,93,0,0,0
138,04-03-2020,San Mateo,486,0,13,0
139,04-03-2020,Santa Barbara,139,0,1,0
140,04-03-2020,Santa Clara,1019,0,39,0
141,04-03-2020,Santa Cruz,57,0,1,0
142,04-03-2020,Shasta,11,0,1,0
143,04-03-2020,Siskiyou,3,0,0,0
144,04-03-2020,Solano,61,0,1,0
145,04-03-2020,Sonoma,95,0,2,0
146,04-03-2020,Stanislaus,58,0,0,0
147,04-03-2020,Sutter,14,0,1,0
148,04-03-2020,Tulare,81,0,2,0
149,04-03-2020,Tuolumne,2,0,0,0
150,04-03-2020,Unassigned,0,0,2,0
151,04-03-2020,Ventura,177,0,6,0
152,04-03-2020,Yolo,33,0,1,0
153,04-03-2020,Yuba,8,0,0,0
154,04-04-2020,Alameda,443,0,12,0
155,04-04-2020,Alpine,1,0,0,0
156,04-04-2020,Amador,3,0,0,0
157,04-04-2020,Butte,11,0,0,0
158,04-04-2020,Calaveras,4,0,0,0
159,04-04-2020,Colusa,2,0,0,0
160,04-04-2020,Contra Costa,307,0,5,0
161,04-04-2020,Del Norte,2,0,0,0
162,04-04-2020,El Dorado,22,0,0,0
