,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Adams,181,0,2,0
1,04-01-2020,Alamosa,1,0,0,0
2,04-01-2020,Arapahoe,333,0,6,0
3,04-01-2020,Archuleta,1,0,0,0
4,04-01-2020,Baca,3,0,0,0
5,04-01-2020,Boulder,107,0,2,0
6,04-01-2020,Broomfield,20,0,1,0
7,04-01-2020,Chaffee,17,0,1,0
8,04-01-2020,Clear Creek,4,0,0,0
9,04-01-2020,Costilla,3,0,0,0
10,04-01-2020,Crowley,1,0,1,0
11,04-01-2020,Delta,1,0,0,0
12,04-01-2020,Denver,539,0,7,0
13,04-01-2020,Douglas,141,0,0,0
14,04-01-2020,Eagle,227,0,4,0
15,04-01-2020,El Paso,286,0,13,0
16,04-01-2020,Elbert,5,0,0,0
17,04-01-2020,Fremont,2,0,0,0
18,04-01-2020,Garfield,33,0,1,0
19,04-01-2020,Grand,4,0,0,0
20,04-01-2020,Gunnison,82,0,1,0
21,04-01-2020,Hinsdale,1,0,0,0
22,04-01-2020,Huerfano,1,0,0,0
23,04-01-2020,Jefferson,304,0,6,0
24,04-01-2020,Kit Carson,2,0,0,0
25,04-01-2020,La Plata,23,0,0,0
26,04-01-2020,Lake,1,0,0,0
27,04-01-2020,Larimer,99,0,6,0
28,04-01-2020,Lincoln,1,0,0,0
29,04-01-2020,Logan,6,0,0,0
30,04-01-2020,Mesa,16,0,0,0
31,04-01-2020,Mineral,2,0,0,0
32,04-01-2020,Moffat,4,0,0,0
33,04-01-2020,Montezuma,1,0,0,0
34,04-01-2020,Montrose,13,0,0,0
35,04-01-2020,Morgan,4,0,0,0
36,04-01-2020,Otero,3,0,0,0
37,04-01-2020,Park,3,0,0,0
38,04-01-2020,Phillips,1,0,0,0
39,04-01-2020,Pitkin,30,0,2,0
40,04-01-2020,Pueblo,21,0,2,0
41,04-01-2020,Rio Grande,5,0,0,0
42,04-01-2020,Routt,17,0,0,0
43,04-01-2020,Saguache,1,0,0,0
44,04-01-2020,San Miguel,4,0,0,0
45,04-01-2020,Summit,34,0,0,0
46,04-01-2020,Teller,7,0,1,0
47,04-01-2020,Unassigned,129,0,1,0
48,04-01-2020,Washington,1,0,0,0
49,04-01-2020,Weld,255,0,12,0
50,04-01-2020,Yuma,2,0,0,0
51,04-02-2020,Adams,212,0,2,0
52,04-02-2020,Alamosa,4,0,0,0
53,04-02-2020,Arapahoe,381,0,7,0
54,04-02-2020,Archuleta,1,0,0,0
55,04-02-2020,Baca,3,0,0,0
56,04-02-2020,Boulder,114,0,2,0
