,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Alachua,90,0,0,0
1,04-01-2020,Baker,9,0,0,0
2,04-01-2020,Bay,10,0,0,0
3,04-01-2020,Bradford,3,0,0,0
4,04-01-2020,Brevard,38,0,0,0
5,04-01-2020,Broward,1232,0,12,0
6,04-01-2020,Calhoun,1,0,0,0
7,04-01-2020,Charlotte,24,0,0,0
8,04-01-2020,Citrus,19,0,2,0
9,04-01-2020,Clay,46,0,5,0
10,04-01-2020,Collier,150,0,1,0
11,04-01-2020,Columbia,3,0,0,0
12,04-01-2020,DeSoto,7,0,1,0
13,04-01-2020,Duval,218,0,4,0
14,04-01-2020,Escambia,94,0,0,0
15,04-01-2020,Flagler,20,0,0,0
16,04-01-2020,Gadsden,1,0,0,0
17,04-01-2020,Glades,3,0,1,0
18,04-01-2020,Gulf,1,0,0,0
19,04-01-2020,Hendry,4,0,0,0
20,04-01-2020,Hernando,24,0,0,0
21,04-01-2020,Highlands,17,0,1,0
22,04-01-2020,Hillsborough,309,0,3,0
23,04-01-2020,Holmes,1,0,0,0
24,04-01-2020,Indian River,33,0,0,0
25,04-01-2020,Jackson,2,0,0,0
26,04-01-2020,Lake,67,0,0,0
27,04-01-2020,Lee,212,0,8,0
28,04-01-2020,Leon,28,0,0,0
29,04-01-2020,Levy,2,0,0,0
30,04-01-2020,Manatee,58,0,2,0
31,04-01-2020,Marion,28,0,0,0
32,04-01-2020,Martin,29,0,0,0
33,04-01-2020,Miami-Dade,2202,0,7,0
34,04-01-2020,Monroe,27,0,0,0
35,04-01-2020,Nassau,11,0,0,0
36,04-01-2020,Okaloosa,39,0,1,0
37,04-01-2020,Orange,392,0,4,0
38,04-01-2020,Osceola,115,0,1,0
39,04-01-2020,Palm Beach,567,0,14,0
40,04-01-2020,Pasco,43,0,2,0
41,04-01-2020,Pinellas,170,0,5,0
42,04-01-2020,Polk,76,0,1,0
43,04-01-2020,Putnam,13,0,0,0
