,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Adams,2,0,0,0
1,04-01-2020,Bond,2,0,0,0
2,04-01-2020,Bureau,2,0,0,0
3,04-01-2020,Carroll,3,0,1,0
4,04-01-2020,Champaign,33,0,0,0
5,04-01-2020,Christian,14,0,0,0
6,04-01-2020,Clark,1,0,0,0
7,04-01-2020,Clinton,8,0,0,0
8,04-01-2020,Cook,5152,0,95,0
9,04-01-2020,Crawford,1,0,0,0
10,04-01-2020,Cumberland,1,0,0,0
11,04-01-2020,DeKalb,14,0,0,0
12,04-01-2020,Douglas,8,0,0,0
13,04-01-2020,DuPage,392,0,12,0
14,04-01-2020,Fayette,2,0,0,0
15,04-01-2020,Ford,1,0,0,0
16,04-01-2020,Franklin,1,0,0,0
17,04-01-2020,Grundy,4,0,0,0
18,04-01-2020,Henry,3,0,0,0
19,04-01-2020,Iroquois,2,0,0,0
20,04-01-2020,Jackson,4,0,0,0
21,04-01-2020,Jo Daviess,3,0,0,0
22,04-01-2020,Kane,142,0,8,0
23,04-01-2020,Kankakee,51,0,0,0
24,04-01-2020,Kendall,27,0,2,0
25,04-01-2020,Knox,1,0,0,0
26,04-01-2020,LaSalle,6,0,1,0
27,04-01-2020,Lake,477,0,3,0
28,04-01-2020,Livingston,5,0,0,0
29,04-01-2020,Macon,2,0,0,0
30,04-01-2020,Madison,25,0,0,0
31,04-01-2020,Marion,2,0,0,0
32,04-01-2020,Marshall,1,0,0,0
33,04-01-2020,McHenry,69,0,2,0
34,04-01-2020,McLean,18,0,2,0
35,04-01-2020,Menard,0,0,0,0
36,04-01-2020,Monroe,3,0,0,0
37,04-01-2020,Montgomery,2,0,0,0
38,04-01-2020,Morgan,5,0,1,0
39,04-01-2020,Ogle,1,0,0,0
40,04-01-2020,Peoria,10,0,0,0
41,04-01-2020,Randolph,7,0,0,0
42,04-01-2020,Rock Island,17,0,0,0
43,04-01-2020,Saline,1,0,0,0
44,04-01-2020,Sangamon,17,0,2,0
45,04-01-2020,St. Clair,53,0,2,0
46,04-01-2020,Stephenson,3,0,0,0
47,04-01-2020,Tazewell,4,0,0,0
48,04-01-2020,Unassigned,28,0,0,0
49,04-01-2020,Washington,1,0,0,0
50,04-01-2020,Whiteside,5,0,0,0
51,04-01-2020,Will,322,0,9,0
52,04-01-2020,Williamson,1,0,0,0
53,04-01-2020,Winnebago,18,0,1,0
54,04-01-2020,Woodford,3,0,0,0
55,04-02-2020,Adams,2,0,0,0
56,04-02-2020,Bond,3,0,0,0
57,04-02-2020,Bureau,2,0,0,0
58,04-02-2020,Carroll,4,0,1,0
59,04-02-2020,Champaign,43,0,0,0
60,04-02-2020,Christian,15,0,1,0
61,04-02-2020,Clark,2,0,0,0
62,04-02-2020,Clinton,8,0,0,0
63,04-02-2020,Cook,5575,0,107,0
64,04-02-2020,Crawford,1,0,0,0
65,04-02-2020,Cumberland,1,0,0,0
66,04-02-2020,DeKalb,16,0,0,0
67,04-02-2020,Douglas,8,0,0,0
68,04-02-2020,DuPage,448,0,14,0
69,04-02-2020,Fayette,2,0,0,0
70,04-02-2020,Ford,1,0,0,0
71,04-02-2020,Franklin,1,0,0,0
72,04-02-2020,Grundy,5,0,0,0
73,04-02-2020,Henry,4,0,0,0
74,04-02-2020,Iroquois,2,0,0,0
75,04-02-2020,Jackson,6,0,0,0
76,04-02-2020,Jo Daviess,3,0,0,0
77,04-02-2020,Kane,154,0,8,0
78,04-02-2020,Kankakee,55,0,0,0
79,04-02-2020,Kendall,36,0,2,0
80,04-02-2020,Knox,1,0,0,0
81,04-02-2020,LaSalle,6,0,1,0
82,04-02-2020,Lake,540,0,8,0
83,04-02-2020,Livingston,5,0,0,0
84,04-02-2020,Logan,1,0,0,0
85,04-02-2020,Macon,2,0,0,0
86,04-02-2020,Macoupin,1,0,0,0
87,04-02-2020,Madison,29,0,0,0
88,04-02-2020,Marion,2,0,0,0
89,04-02-2020,Marshall,1,0,0,0
90,04-02-2020,Massac,1,0,0,0
91,04-02-2020,McHenry,81,0,3,0
92,04-02-2020,McLean,32,0,2,0
93,04-02-2020,Menard,1,0,0,0
94,04-02-2020,Mercer,1,0,0,0
95,04-02-2020,Monroe,4,0,0,0
96,04-02-2020,Montgomery,2,0,0,0
97,04-02-2020,Morgan,5,0,1,0
98,04-02-2020,Moultrie,1,0,0,0
99,04-02-2020,Ogle,1,0,0,0
100,04-02-2020,Peoria,11,0,0,0
101,04-02-2020,Piatt,1,0,0,0
102,04-02-2020,Randolph,8,0,0,0
103,04-02-2020,Rock Island,21,0,0,0
104,04-02-2020,Saline,1,0,0,0
105,04-02-2020,Sangamon,18,0,2,0
106,04-02-2020,St. Clair,55,0,2,0
107,04-02-2020,Stephenson,3,0,0,0
108,04-02-2020,Tazewell,5,0,0,0
109,04-02-2020,Unassigned,37,0,0,0
110,04-02-2020,Vermilion,2,0,0,0
111,04-02-2020,Washington,1,0,0,0
112,04-02-2020,Whiteside,6,0,1,0
113,04-02-2020,Will,384,0,9,0
114,04-02-2020,Williamson,1,0,0,0
115,04-02-2020,Winnebago,24,0,1,0
116,04-02-2020,Woodford,3,0,0,0
117,04-03-2020,Adams,2,0,0,0
118,04-03-2020,Bond,3,0,0,0
119,04-03-2020,Bureau,2,0,0,0
120,04-03-2020,Carroll,4,0,1,0
121,04-03-2020,Champaign,51,0,0,0
122,04-03-2020,Christian,17,0,2,0
123,04-03-2020,Clark,2,0,0,0
124,04-03-2020,Clinton,8,0,0,0
125,04-03-2020,Cook,6111,0,141,0
126,04-03-2020,Crawford,1,0,0,0
127,04-03-2020,Cumberland,1,0,0,0
128,04-03-2020,De Witt,1,0,0,0
129,04-03-2020,DeKalb,16,0,0,0
130,04-03-2020,Douglas,9,0,0,0
131,04-03-2020,DuPage,500,0,16,0
132,04-03-2020,Effingham,1,0,0,0
133,04-03-2020,Fayette,2,0,0,0
134,04-03-2020,Ford,1,0,0,0
135,04-03-2020,Franklin,1,0,0,0
136,04-03-2020,Grundy,7,0,0,0
137,04-03-2020,Henry,7,0,0,0
138,04-03-2020,Iroquois,4,0,0,0
139,04-03-2020,Jackson,8,0,0,0
140,04-03-2020,Jersey,1,0,0,0
141,04-03-2020,Jo Daviess,4,0,0,0
142,04-03-2020,Kane,176,0,9,0
143,04-03-2020,Kankakee,58,0,2,0
144,04-03-2020,Kendall,37,0,2,0
145,04-03-2020,Knox,1,0,0,0
146,04-03-2020,LaSalle,6,0,1,0
147,04-03-2020,Lake,608,0,13,0
148,04-03-2020,Livingston,6,0,0,0
149,04-03-2020,Logan,1,0,0,0
150,04-03-2020,Macon,2,0,0,0
151,04-03-2020,Macoupin,1,0,0,0
152,04-03-2020,Madison,31,0,0,0
153,04-03-2020,Marion,3,0,0,0
154,04-03-2020,Marshall,1,0,0,0
155,04-03-2020,Massac,1,0,0,0
156,04-03-2020,McHenry,102,0,3,0
157,04-03-2020,McLean,35,0,2,0
158,04-03-2020,Menard,1,0,0,0
159,04-03-2020,Mercer,1,0,0,0
