,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Adams,1,0,0,0
1,04-01-2020,Allen,39,0,2,0
2,04-01-2020,Bartholomew,13,0,0,0
3,04-01-2020,Benton,1,0,0,0
4,04-01-2020,Boone,29,0,0,0
5,04-01-2020,Brown,3,0,0,0
6,04-01-2020,Carroll,2,0,0,0
7,04-01-2020,Cass,1,0,0,0
8,04-01-2020,Clark,38,0,0,0
9,04-01-2020,Clay,1,0,0,0
10,04-01-2020,Clinton,1,0,0,0
11,04-01-2020,Crawford,1,0,0,0
12,04-01-2020,DeKalb,2,0,0,0
13,04-01-2020,Dearborn,17,0,1,0
14,04-01-2020,Decatur,48,0,1,0
15,04-01-2020,Delaware,22,0,1,0
16,04-01-2020,Dubois,3,0,0,0
17,04-01-2020,Elkhart,23,0,2,0
18,04-01-2020,Fayette,10,0,2,0
19,04-01-2020,Floyd,21,0,0,0
20,04-01-2020,Fountain,1,0,0,0
21,04-01-2020,Franklin,39,0,5,0
22,04-01-2020,Fulton,1,0,0,0
23,04-01-2020,Gibson,4,0,0,0
24,04-01-2020,Grant,9,0,0,0
25,04-01-2020,Greene,3,0,0,0
26,04-01-2020,Hamilton,179,0,4,0
27,04-01-2020,Hancock,33,0,2,0
28,04-01-2020,Harrison,15,0,0,0
29,04-01-2020,Hendricks,91,0,1,0
30,04-01-2020,Henry,4,0,0,0
31,04-01-2020,Howard,20,0,1,0
32,04-01-2020,Huntington,2,0,0,0
33,04-01-2020,Jackson,10,0,0,0
34,04-01-2020,Jasper,9,0,1,0
35,04-01-2020,Jay,1,0,0,0
36,04-01-2020,Jefferson,1,0,0,0
37,04-01-2020,Jennings,17,0,0,0
38,04-01-2020,Johnson,118,0,3,0
39,04-01-2020,Knox,3,0,0,0
40,04-01-2020,Kosciusko,5,0,0,0
41,04-01-2020,LaGrange,2,0,0,0
42,04-01-2020,LaPorte,11,0,0,0
43,04-01-2020,Lake,180,0,6,0
44,04-01-2020,Lawrence,11,0,1,0
45,04-01-2020,Madison,46,0,2,0
46,04-01-2020,Marion,1117,0,21,0
47,04-01-2020,Marshall,3,0,0,0
48,04-01-2020,Miami,3,0,0,0
49,04-01-2020,Monroe,33,0,0,0
50,04-01-2020,Montgomery,6,0,0,0
51,04-01-2020,Morgan,41,0,1,0
52,04-01-2020,Newton,1,0,0,0
53,04-01-2020,Noble,3,0,0,0
54,04-01-2020,Ohio,1,0,0,0
55,04-01-2020,Orange,3,0,0,0
56,04-01-2020,Owen,12,0,0,0
57,04-01-2020,Porter,27,0,0,0
58,04-01-2020,Posey,4,0,0,0
59,04-01-2020,Putnam,11,0,1,0
60,04-01-2020,Randolph,3,0,0,0
61,04-01-2020,Ripley,33,0,1,0
62,04-01-2020,Rush,5,0,0,0
63,04-01-2020,Scott,1,0,1,0
64,04-01-2020,Shelby,19,0,0,0
65,04-01-2020,St. Joseph,57,0,1,0
66,04-01-2020,Starke,1,0,0,0
67,04-01-2020,Steuben,2,0,0,0
68,04-01-2020,Sullivan,3,0,0,0
69,04-01-2020,Switzerland,3,0,0,0
70,04-01-2020,Tippecanoe,18,0,1,0
71,04-01-2020,Tipton,5,0,0,0
72,04-01-2020,Vanderburgh,20,0,0,0
73,04-01-2020,Vigo,8,0,2,0
74,04-01-2020,Wabash,1,0,0,0
75,04-01-2020,Warren,2,0,1,0
76,04-01-2020,Warrick,8,0,0,0
77,04-01-2020,Washington,9,0,0,0
78,04-01-2020,Wayne,3,0,0,0
79,04-01-2020,Wells,2,0,0,0
80,04-01-2020,White,2,0,0,0
81,04-01-2020,Whitley,3,0,0,0
82,04-02-2020,Adams,1,0,0,0
83,04-02-2020,Allen,46,0,2,0
84,04-02-2020,Bartholomew,15,0,0,0
85,04-02-2020,Benton,0,0,0,0
86,04-02-2020,Blackford,1,0,0,0
87,04-02-2020,Boone,32,0,0,0
88,04-02-2020,Brown,3,0,0,0
89,04-02-2020,Carroll,2,0,0,0
