,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Allen,2,0,0,0
1,04-01-2020,Anderson,2,0,1,0
2,04-01-2020,Barren,1,0,0,0
3,04-01-2020,Boone,8,0,0,0
4,04-01-2020,Bourbon,2,0,1,0
5,04-01-2020,Boyd,4,0,0,0
6,04-01-2020,Boyle,4,0,0,0
7,04-01-2020,Bracken,1,0,0,0
8,04-01-2020,Breathitt,2,0,0,0
9,04-01-2020,Breckinridge,2,0,0,0
10,04-01-2020,Bullitt,6,0,1,0
11,04-01-2020,Butler,1,0,0,0
12,04-01-2020,Calloway,3,0,0,0
13,04-01-2020,Campbell,8,0,0,0
14,04-01-2020,Carroll,2,0,0,0
15,04-01-2020,Christian,7,0,0,0
16,04-01-2020,Clark,8,0,0,0
17,04-01-2020,Daviess,34,0,0,0
18,04-01-2020,Edmonson,2,0,0,0
19,04-01-2020,Fayette,110,0,3,0
20,04-01-2020,Franklin,6,0,0,0
21,04-01-2020,Grant,1,0,0,0
22,04-01-2020,Grayson,2,0,0,0
23,04-01-2020,Hancock,1,0,0,0
24,04-01-2020,Hardin,6,0,0,0
25,04-01-2020,Harrison,11,0,0,0
26,04-01-2020,Henderson,5,0,0,0
27,04-01-2020,Hopkins,17,0,1,0
28,04-01-2020,Jefferson,206,0,7,0
29,04-01-2020,Jessamine,13,0,0,0
30,04-01-2020,Kenton,20,0,1,0
31,04-01-2020,Larue,1,0,0,0
32,04-01-2020,Laurel,2,0,0,0
33,04-01-2020,Lawrence,1,0,0,0
34,04-01-2020,Lewis,1,0,0,0
35,04-01-2020,Logan,3,0,0,0
36,04-01-2020,Lyon,1,0,0,0
37,04-01-2020,Madison,10,0,0,0
38,04-01-2020,Marion,1,0,0,0
39,04-01-2020,Marshall,1,0,0,0
40,04-01-2020,Martin,1,0,0,0
41,04-01-2020,Mason,1,0,0,0
42,04-01-2020,McCracken,8,0,0,0
43,04-01-2020,McCreary,1,0,0,0
44,04-01-2020,McLean,1,0,0,0
45,04-01-2020,Menifee,2,0,0,0
46,04-01-2020,Mercer,2,0,0,0
47,04-01-2020,Montgomery,2,0,0,0
48,04-01-2020,Muhlenberg,10,0,0,0
49,04-01-2020,Nelson,3,0,0,0
50,04-01-2020,Nicholas,1,0,0,0
51,04-01-2020,Oldham,6,0,0,0
52,04-01-2020,Pendleton,1,0,0,0
53,04-01-2020,Powell,1,0,0,0
54,04-01-2020,Pulaski,8,0,0,0
55,04-01-2020,Rockcastle,1,0,0,0
56,04-01-2020,Scott,6,0,0,0
57,04-01-2020,Shelby,2,0,0,0
58,04-01-2020,Simpson,9,0,0,0
59,04-01-2020,Spencer,2,0,0,0
60,04-01-2020,Taylor,2,0,0,0
61,04-01-2020,Unassigned,18,0,3,0
62,04-01-2020,Union,2,0,0,0
63,04-01-2020,Warren,13,0,0,0
64,04-01-2020,Washington,1,0,0,0
65,04-01-2020,Wayne,3,0,0,0
66,04-01-2020,Webster,2,0,0,0
67,04-01-2020,Woodford,5,0,0,0
68,04-02-2020,Allen,2,0,0,0
69,04-02-2020,Anderson,2,0,1,0
70,04-02-2020,Barren,1,0,0,0
71,04-02-2020,Boone,8,0,0,0
72,04-02-2020,Bourbon,2,0,1,0
73,04-02-2020,Boyd,4,0,0,0
74,04-02-2020,Boyle,4,0,0,0
75,04-02-2020,Bracken,1,0,0,0
76,04-02-2020,Breathitt,2,0,0,0
77,04-02-2020,Breckinridge,2,0,0,0
78,04-02-2020,Bullitt,6,0,1,0
79,04-02-2020,Butler,1,0,0,0
80,04-02-2020,Calloway,3,0,0,0
81,04-02-2020,Campbell,8,0,0,0
82,04-02-2020,Carroll,2,0,0,0
83,04-02-2020,Christian,7,0,0,0
84,04-02-2020,Clark,8,0,0,0
85,04-02-2020,Daviess,34,0,1,0
86,04-02-2020,Edmonson,2,0,0,0
87,04-02-2020,Fayette,116,0,3,0
88,04-02-2020,Franklin,6,0,0,0
89,04-02-2020,Grant,1,0,0,0
90,04-02-2020,Grayson,2,0,0,0
91,04-02-2020,Hancock,1,0,0,0
92,04-02-2020,Hardin,6,0,0,0
93,04-02-2020,Harrison,11,0,0,0
94,04-02-2020,Henderson,5,0,0,0
95,04-02-2020,Hopkins,27,0,2,0
96,04-02-2020,Jefferson,228,0,7,0
97,04-02-2020,Jessamine,13,0,0,0
98,04-02-2020,Kenton,25,0,1,0
99,04-02-2020,Larue,1,0,0,0
100,04-02-2020,Laurel,2,0,0,0
101,04-02-2020,Lawrence,1,0,0,0
102,04-02-2020,Lewis,1,0,0,0
103,04-02-2020,Logan,3,0,0,0
104,04-02-2020,Lyon,1,0,0,0
105,04-02-2020,Madison,10,0,0,0
106,04-02-2020,Marion,1,0,0,0
107,04-02-2020,Marshall,1,0,0,0
108,04-02-2020,Martin,1,0,0,0
109,04-02-2020,Mason,1,0,0,0
110,04-02-2020,McCracken,8,0,0,0
111,04-02-2020,McCreary,1,0,0,0
112,04-02-2020,McLean,1,0,0,0
113,04-02-2020,Menifee,2,0,0,0
114,04-02-2020,Mercer,2,0,0,0
115,04-02-2020,Montgomery,2,0,0,0
116,04-02-2020,Muhlenberg,10,0,0,0
117,04-02-2020,Nelson,3,0,0,0
118,04-02-2020,Nicholas,1,0,0,0
119,04-02-2020,Oldham,6,0,0,0
120,04-02-2020,Pendleton,1,0,0,0
121,04-02-2020,Powell,1,0,0,0
122,04-02-2020,Pulaski,8,0,0,0
123,04-02-2020,Rockcastle,1,0,0,0
124,04-02-2020,Scott,6,0,0,0
125,04-02-2020,Shelby,2,0,0,0
126,04-02-2020,Simpson,9,0,0,0
127,04-02-2020,Spencer,2,0,0,0
128,04-02-2020,Taylor,2,0,0,0
129,04-02-2020,Unassigned,113,0,14,0
130,04-02-2020,Union,2,0,0,0
131,04-02-2020,Warren,13,0,0,0
132,04-02-2020,Washington,1,0,0,0
133,04-02-2020,Wayne,3,0,0,0
134,04-02-2020,Webster,2,0,0,0
135,04-02-2020,Woodford,5,0,0,0
136,04-03-2020,Allen,2,0,0,0
137,04-03-2020,Anderson,2,0,1,0
138,04-03-2020,Barren,1,0,0,0
139,04-03-2020,Boone,8,0,0,0
140,04-03-2020,Bourbon,2,0,1,0
141,04-03-2020,Boyd,4,0,1,0
142,04-03-2020,Boyle,4,0,0,0
143,04-03-2020,Bracken,1,0,0,0
144,04-03-2020,Breathitt,2,0,0,0
145,04-03-2020,Breckinridge,2,0,0,0
146,04-03-2020,Bullitt,6,0,1,0
147,04-03-2020,Butler,1,0,0,0
148,04-03-2020,Calloway,3,0,0,0
149,04-03-2020,Campbell,8,0,1,0
150,04-03-2020,Carroll,2,0,0,0
151,04-03-2020,Christian,7,0,0,0
152,04-03-2020,Clark,8,0,0,0
153,04-03-2020,Daviess,34,0,1,0
154,04-03-2020,Edmonson,2,0,0,0
155,04-03-2020,Fayette,116,0,6,0
156,04-03-2020,Franklin,6,0,0,0
157,04-03-2020,Grant,1,0,1,0
158,04-03-2020,Grayson,2,0,0,0
159,04-03-2020,Hancock,1,0,0,0
160,04-03-2020,Hardin,6,0,0,0
161,04-03-2020,Harrison,11,0,0,0
162,04-03-2020,Henderson,5,0,0,0
163,04-03-2020,Hopkins,27,0,2,0
164,04-03-2020,Jefferson,228,0,11,0
165,04-03-2020,Jessamine,13,0,0,0
166,04-03-2020,Kenton,25,0,3,0
167,04-03-2020,Larue,1,0,0,0
168,04-03-2020,Laurel,2,0,0,0
169,04-03-2020,Lawrence,1,0,0,0
170,04-03-2020,Lewis,1,0,0,0
171,04-03-2020,Logan,3,0,0,0
172,04-03-2020,Lyon,1,0,0,0
173,04-03-2020,Madison,10,0,0,0
174,04-03-2020,Marion,1,0,0,0
175,04-03-2020,Marshall,1,0,0,0
176,04-03-2020,Martin,1,0,0,0
177,04-03-2020,Mason,1,0,0,0
178,04-03-2020,McCracken,8,0,0,0
179,04-03-2020,McCreary,1,0,0,0
180,04-03-2020,McLean,1,0,0,0
181,04-03-2020,Menifee,2,0,0,0
182,04-03-2020,Mercer,2,0,0,0
183,04-03-2020,Montgomery,2,0,0,0
184,04-03-2020,Muhlenberg,10,0,0,0
185,04-03-2020,Nelson,3,0,0,0
186,04-03-2020,Nicholas,1,0,0,0
187,04-03-2020,Oldham,6,0,0,0
188,04-03-2020,Pendleton,1,0,0,0
189,04-03-2020,Powell,1,0,0,0
190,04-03-2020,Pulaski,8,0,1,0
191,04-03-2020,Rockcastle,1,0,0,0
192,04-03-2020,Scott,6,0,0,0
193,04-03-2020,Shelby,2,0,0,0
194,04-03-2020,Simpson,9,0,1,0
195,04-03-2020,Spencer,2,0,0,0
196,04-03-2020,Taylor,2,0,0,0
197,04-03-2020,Unassigned,113,0,3,0
198,04-03-2020,Union,2,0,0,0
199,04-03-2020,Warren,13,0,0,0
200,04-03-2020,Washington,1,0,0,0
201,04-03-2020,Wayne,3,0,0,0
202,04-03-2020,Webster,2,0,0,0
203,04-03-2020,Woodford,5,0,0,0
204,04-04-2020,Adair,3,0,0,0
205,04-04-2020,Allen,2,0,0,0
206,04-04-2020,Anderson,3,0,1,0
207,04-04-2020,Barren,1,0,0,0
208,04-04-2020,Bath,1,0,0,0
209,04-04-2020,Boone,11,0,1,0
210,04-04-2020,Bourbon,4,0,1,0
211,04-04-2020,Boyd,13,0,1,0
212,04-04-2020,Boyle,7,0,0,0
213,04-04-2020,Bracken,1,0,0,0
214,04-04-2020,Breathitt,1,0,0,0
215,04-04-2020,Bullitt,11,0,2,0
216,04-04-2020,Butler,1,0,0,0
217,04-04-2020,Caldwell,3,0,0,0
218,04-04-2020,Calloway,5,0,0,0
219,04-04-2020,Campbell,12,0,1,0
220,04-04-2020,Carroll,2,0,0,0
221,04-04-2020,Carter,1,0,0,0
222,04-04-2020,Christian,23,0,0,0
223,04-04-2020,Clark,11,0,0,0
224,04-04-2020,Clinton,1,0,0,0
225,04-04-2020,Crittenden,1,0,0,0
226,04-04-2020,Cumberland,1,0,0,0
227,04-04-2020,Daviess,55,0,1,0
228,04-04-2020,Edmonson,5,0,0,0
229,04-04-2020,Fayette,120,0,7,0
230,04-04-2020,Franklin,7,0,0,0
231,04-04-2020,Grant,2,0,1,0
232,04-04-2020,Graves,2,0,0,0
233,04-04-2020,Grayson,2,0,0,0
234,04-04-2020,Greenup,1,0,0,0
235,04-04-2020,Hancock,1,0,0,0
236,04-04-2020,Hardin,9,0,0,0
237,04-04-2020,Harrison,11,0,0,0
238,04-04-2020,Henderson,6,0,0,0
239,04-04-2020,Henry,2,0,0,0
240,04-04-2020,Hopkins,33,0,2,0
241,04-04-2020,Jefferson,299,0,11,0
242,04-04-2020,Jessamine,15,0,0,0
243,04-04-2020,Johnson,1,0,0,0
244,04-04-2020,Kenton,33,0,3,0
245,04-04-2020,Larue,3,0,0,0
246,04-04-2020,Laurel,2,0,0,0
247,04-04-2020,Lawrence,1,0,0,0
248,04-04-2020,Lewis,2,0,0,0
249,04-04-2020,Logan,4,0,0,0
250,04-04-2020,Lyon,4,0,0,0
251,04-04-2020,Madison,11,0,0,0
252,04-04-2020,Marion,3,0,0,0
253,04-04-2020,Marshall,2,0,0,0
254,04-04-2020,Martin,1,0,0,0
255,04-04-2020,Mason,2,0,0,0
256,04-04-2020,McCracken,10,0,0,0
257,04-04-2020,McCreary,1,0,0,0
258,04-04-2020,McLean,1,0,0,0
259,04-04-2020,Meade,2,0,0,0
260,04-04-2020,Menifee,3,0,0,0
261,04-04-2020,Mercer,3,0,0,0
262,04-04-2020,Montgomery,5,0,0,0
263,04-04-2020,Nelson,4,0,0,0
264,04-04-2020,Nicholas,1,0,0,0
265,04-04-2020,Ohio,1,0,0,0
266,04-04-2020,Oldham,6,0,0,0
267,04-04-2020,Pendleton,1,0,0,0
268,04-04-2020,Perry,3,0,0,0
269,04-04-2020,Pike,1,0,0,0
270,04-04-2020,Powell,1,0,0,0
271,04-04-2020,Pulaski,12,0,1,0
272,04-04-2020,Rockcastle,1,0,0,0
273,04-04-2020,Russell,1,0,0,0
274,04-04-2020,Scott,12,0,0,0
275,04-04-2020,Shelby,7,0,0,0
276,04-04-2020,Simpson,13,0,1,0
277,04-04-2020,Spencer,2,0,0,0
278,04-04-2020,Taylor,2,0,0,0
279,04-04-2020,Unassigned,29,0,6,0
280,04-04-2020,Union,2,0,0,0
281,04-04-2020,Warren,18,0,0,0
282,04-04-2020,Washington,2,0,0,0
283,04-04-2020,Wayne,4,0,0,0
284,04-04-2020,Webster,3,0,0,0
285,04-04-2020,Woodford,8,0,0,0
286,04-05-2020,Adair,3,0,0,0
287,04-05-2020,Allen,2,0,0,0
288,04-05-2020,Anderson,3,0,1,0
289,04-05-2020,Barren,0,0,0,0
290,04-05-2020,Bath,1,0,0,0
291,04-05-2020,Boone,12,0,1,0
292,04-05-2020,Bourbon,4,0,1,0
293,04-05-2020,Boyd,13,0,1,0
294,04-05-2020,Boyle,7,0,0,0
295,04-05-2020,Bracken,1,0,0,0
296,04-05-2020,Breathitt,1,0,0,0
297,04-05-2020,Breckinridge,2,0,0,0
298,04-05-2020,Bullitt,11,0,2,0
299,04-05-2020,Butler,1,0,0,0
300,04-05-2020,Caldwell,2,0,0,0
301,04-05-2020,Calloway,5,0,0,0
302,04-05-2020,Campbell,12,0,1,0
303,04-05-2020,Carroll,2,0,0,0
304,04-05-2020,Carter,1,0,0,0
305,04-05-2020,Christian,30,0,0,0
306,04-05-2020,Clark,11,0,0,0
307,04-05-2020,Clinton,1,0,0,0
308,04-05-2020,Crittenden,1,0,0,0
