,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Anne Arundel,158,0,1,0
1,04-01-2020,Baltimore,289,0,1,0
2,04-01-2020,Baltimore City,221,0,2,0
3,04-01-2020,Calvert,18,0,0,0
4,04-01-2020,Caroline,4,0,0,0
5,04-01-2020,Carroll,96,0,2,0
6,04-01-2020,Cecil,16,0,0,0
7,04-01-2020,Charles,56,0,1,0
8,04-01-2020,Dorchester,1,0,0,0
9,04-01-2020,Frederick,35,0,1,0
10,04-01-2020,Garrett,3,0,0,0
11,04-01-2020,Harford,34,0,0,0
12,04-01-2020,Howard,142,0,2,0
13,04-01-2020,Kent,3,0,0,0
14,04-01-2020,Montgomery,447,0,1,0
15,04-01-2020,Prince George's,403,0,7,0
16,04-01-2020,Queen Anne's,7,0,0,0
17,04-01-2020,Somerset,4,0,0,0
18,04-01-2020,St. Mary's,19,0,0,0
19,04-01-2020,Talbot,4,0,0,0
20,04-01-2020,Unassigned,0,0,12,0
21,04-01-2020,Washington,15,0,0,0
22,04-01-2020,Wicomico,7,0,1,0
23,04-01-2020,Worcester,4,0,0,0
24,04-02-2020,Allegany,1,0,0,0
25,04-02-2020,Anne Arundel,206,0,3,0
26,04-02-2020,Baltimore,353,0,3,0
27,04-02-2020,Baltimore City,265,0,2,0
28,04-02-2020,Calvert,22,0,1,0
29,04-02-2020,Caroline,4,0,0,0
30,04-02-2020,Carroll,105,0,4,0
31,04-02-2020,Cecil,20,0,1,0
32,04-02-2020,Charles,69,0,1,0
33,04-02-2020,Dorchester,1,0,0,0
34,04-02-2020,Frederick,45,0,3,0
35,04-02-2020,Garrett,3,0,0,0
36,04-02-2020,Harford,37,0,0,0
37,04-02-2020,Howard,152,0,2,0
38,04-02-2020,Kent,5,0,0,0
39,04-02-2020,Montgomery,498,0,6,0
40,04-02-2020,Prince George's,473,0,9,0
41,04-02-2020,Queen Anne's,8,0,0,0
42,04-02-2020,Somerset,4,0,0,0
43,04-02-2020,St. Mary's,27,0,0,0
44,04-02-2020,Talbot,4,0,0,0
45,04-02-2020,Unassigned,0,0,0,0
46,04-02-2020,Washington,17,0,0,0
47,04-02-2020,Wicomico,7,0,1,0
48,04-02-2020,Worcester,5,0,0,0
49,04-03-2020,Allegany,2,0,0,0
50,04-03-2020,Anne Arundel,249,0,4,0
51,04-03-2020,Baltimore,427,0,3,0
52,04-03-2020,Baltimore City,313,0,4,0
53,04-03-2020,Calvert,30,0,1,0
54,04-03-2020,Caroline,4,0,0,0
55,04-03-2020,Carroll,129,0,5,0
56,04-03-2020,Cecil,25,0,1,0
57,04-03-2020,Charles,90,0,1,0
58,04-03-2020,Dorchester,1,0,0,0
59,04-03-2020,Frederick,54,0,3,0
60,04-03-2020,Garrett,3,0,0,0
61,04-03-2020,Harford,41,0,0,0
62,04-03-2020,Howard,166,0,2,0
63,04-03-2020,Kent,5,0,0,0
64,04-03-2020,Montgomery,566,0,9,0
65,04-03-2020,Prince George's,563,0,9,0
66,04-03-2020,Queen Anne's,12,0,0,0
67,04-03-2020,Somerset,4,0,0,0
68,04-03-2020,St. Mary's,30,0,0,0
69,04-03-2020,Talbot,5,0,0,0
70,04-03-2020,Unassigned,0,0,0,0
71,04-03-2020,Washington,27,0,0,0
72,04-03-2020,Wicomico,7,0,1,0
73,04-03-2020,Worcester,5,0,0,0
74,04-04-2020,Allegany,3,0,0,0
75,04-04-2020,Anne Arundel,289,0,6,0
76,04-04-2020,Baltimore,491,0,4,0
77,04-04-2020,Baltimore City,343,0,6,0
78,04-04-2020,Calvert,33,0,1,0
79,04-04-2020,Caroline,4,0,0,0
80,04-04-2020,Carroll,134,0,6,0
81,04-04-2020,Cecil,33,0,1,0
82,04-04-2020,Charles,95,0,1,0
83,04-04-2020,Dorchester,1,0,0,0
84,04-04-2020,Frederick,73,0,3,0
85,04-04-2020,Garrett,3,0,0,0
86,04-04-2020,Harford,44,0,0,0
87,04-04-2020,Howard,180,0,3,0
88,04-04-2020,Kent,5,0,0,0
89,04-04-2020,Montgomery,640,0,9,0
90,04-04-2020,Prince George's,653,0,13,0
91,04-04-2020,Queen Anne's,13,0,0,0
92,04-04-2020,Somerset,4,0,0,0
93,04-04-2020,St. Mary's,34,0,0,0
94,04-04-2020,Talbot,6,0,0,0
95,04-04-2020,Unassigned,0,0,0,0
96,04-04-2020,Washington,29,0,0,0
97,04-04-2020,Wicomico,8,0,1,0
98,04-04-2020,Worcester,7,0,0,0
99,04-05-2020,Allegany,6,0,0,0
100,04-05-2020,Anne Arundel,319,0,6,0
101,04-05-2020,Baltimore,590,0,6,0
102,04-05-2020,Baltimore City,394,0,7,0
103,04-05-2020,Calvert,39,0,1,0
104,04-05-2020,Caroline,4,0,0,0
105,04-05-2020,Carroll,142,0,8,0
106,04-05-2020,Cecil,36,0,1,0
107,04-05-2020,Charles,111,0,2,0
108,04-05-2020,Dorchester,1,0,0,0
109,04-05-2020,Frederick,120,0,3,0
110,04-05-2020,Garrett,3,0,0,0
111,04-05-2020,Harford,52,0,0,0
112,04-05-2020,Howard,199,0,3,0
113,04-05-2020,Kent,5,0,0,0
114,04-05-2020,Montgomery,693,0,13,0
115,04-05-2020,Prince George's,785,0,16,0
116,04-05-2020,Queen Anne's,13,0,0,0
117,04-05-2020,Somerset,4,0,0,0
118,04-05-2020,St. Mary's,40,0,0,0
119,04-05-2020,Talbot,7,0,0,0
120,04-05-2020,Unassigned,0,0,0,0
121,04-05-2020,Washington,34,0,0,0
122,04-05-2020,Wicomico,11,0,1,0
123,04-05-2020,Worcester,9,0,0,0
124,04-06-2020,Allegany,6,0,0,0
125,04-06-2020,Anne Arundel,343,0,8,0
126,04-06-2020,Baltimore,648,0,11,0
127,04-06-2020,Baltimore City,435,0,8,0
128,04-06-2020,Calvert,40,0,1,0
129,04-06-2020,Caroline,6,0,0,0
130,04-06-2020,Carroll,150,0,10,0
131,04-06-2020,Cecil,37,0,1,0
132,04-06-2020,Charles,129,0,2,0
133,04-06-2020,Dorchester,1,0,0,0
134,04-06-2020,Frederick,138,0,4,0
135,04-06-2020,Garrett,3,0,0,0
136,04-06-2020,Harford,55,0,0,0
137,04-06-2020,Howard,214,0,3,0
138,04-06-2020,Kent,5,0,0,0
139,04-06-2020,Montgomery,793,0,19,0
140,04-06-2020,Prince George's,916,0,23,0
141,04-06-2020,Queen Anne's,15,0,0,0
142,04-06-2020,Somerset,4,0,0,0
143,04-06-2020,St. Mary's,41,0,0,0
144,04-06-2020,Talbot,8,0,0,0
145,04-06-2020,Unassigned,0,0,0,0
146,04-06-2020,Washington,37,0,0,0
147,04-06-2020,Wicomico,11,0,1,0
148,04-06-2020,Worcester,10,0,0,0
149,04-07-2020,Allegany,7,0,0,0
150,04-07-2020,Anne Arundel,370,0,8,0
151,04-07-2020,Baltimore,652,0,11,0
152,04-07-2020,Baltimore City,459,0,9,0
153,04-07-2020,Calvert,41,0,1,0
154,04-07-2020,Caroline,11,0,0,0
155,04-07-2020,Carroll,159,0,16,0
156,04-07-2020,Cecil,41,0,1,0
157,04-07-2020,Charles,136,0,2,0
158,04-07-2020,Dorchester,3,0,0,0
159,04-07-2020,Frederick,151,0,4,0
160,04-07-2020,Garrett,3,0,0,0
161,04-07-2020,Harford,59,0,0,0
162,04-07-2020,Howard,236,0,3,0
163,04-07-2020,Kent,8,0,0,0
164,04-07-2020,Montgomery,871,0,21,0
165,04-07-2020,Prince George's,1020,0,26,0
166,04-07-2020,Queen Anne's,15,0,0,0
167,04-07-2020,Somerset,4,0,0,0
168,04-07-2020,St. Mary's,46,0,0,0
169,04-07-2020,Talbot,8,0,0,0
170,04-07-2020,Unassigned,0,0,0,0
171,04-07-2020,Washington,44,0,0,0
172,04-07-2020,Wicomico,17,0,1,0
173,04-07-2020,Worcester,10,0,0,0
174,04-08-2020,Allegany,6,0,0,0
175,04-08-2020,Anne Arundel,466,0,12,0
176,04-08-2020,Baltimore,866,0,13,0
177,04-08-2020,Baltimore City,571,0,10,0
178,04-08-2020,Calvert,56,0,1,0
179,04-08-2020,Caroline,11,0,0,0
180,04-08-2020,Carroll,186,0,18,0
181,04-08-2020,Cecil,49,0,1,0
182,04-08-2020,Charles,164,0,2,0
183,04-08-2020,Dorchester,4,0,0,0
184,04-08-2020,Frederick,199,0,4,0
185,04-08-2020,Garrett,5,0,0,0
186,04-08-2020,Harford,86,0,0,0
187,04-08-2020,Howard,274,0,3,0
188,04-08-2020,Kent,9,0,0,0
189,04-08-2020,Montgomery,1088,0,26,0
190,04-08-2020,Prince George's,1310,0,32,0
191,04-08-2020,Queen Anne's,16,0,0,0
192,04-08-2020,Somerset,4,0,0,0
193,04-08-2020,St. Mary's,62,0,0,0
194,04-08-2020,Talbot,10,0,1,0
195,04-08-2020,Unassigned,0,0,0,0
196,04-08-2020,Washington,57,0,0,0
197,04-08-2020,Wicomico,20,0,1,0
198,04-08-2020,Worcester,10,0,0,0
199,04-09-2020,Allegany,8,0,0,0
200,04-09-2020,Anne Arundel,505,0,12,0
201,04-09-2020,Baltimore,979,0,16,0
202,04-09-2020,Baltimore City,638,0,12,0
203,04-09-2020,Calvert,66,0,1,0
204,04-09-2020,Caroline,12,0,0,0
205,04-09-2020,Carroll,203,0,18,0
206,04-09-2020,Cecil,54,0,1,0
207,04-09-2020,Charles,180,0,3,0
208,04-09-2020,Dorchester,7,0,0,0
209,04-09-2020,Frederick,233,0,4,0
210,04-09-2020,Garrett,5,0,0,0
211,04-09-2020,Harford,101,0,0,0
212,04-09-2020,Howard,299,0,5,0
213,04-09-2020,Kent,9,0,0,0
214,04-09-2020,Montgomery,1214,0,30,0
215,04-09-2020,Prince George's,1476,0,34,0
216,04-09-2020,Queen Anne's,17,0,0,0
217,04-09-2020,Somerset,4,0,0,0
218,04-09-2020,St. Mary's,65,0,0,0
219,04-09-2020,Talbot,13,0,1,0
220,04-09-2020,Unassigned,0,0,0,0
221,04-09-2020,Washington,60,0,0,0
222,04-09-2020,Wicomico,21,0,1,0
223,04-09-2020,Worcester,16,0,0,0
224,04-10-2020,Allegany,10,0,0,0
225,04-10-2020,Anne Arundel,554,0,16,0
226,04-10-2020,Baltimore,1072,0,21,0
227,04-10-2020,Baltimore City,689,0,17,0
228,04-10-2020,Calvert,76,0,1,0
229,04-10-2020,Caroline,12,0,0,0
230,04-10-2020,Carroll,214,0,19,0
231,04-10-2020,Cecil,64,0,1,0
232,04-10-2020,Charles,220,0,4,0
233,04-10-2020,Dorchester,7,0,0,0
234,04-10-2020,Frederick,289,0,9,0
235,04-10-2020,Garrett,4,0,0,0
236,04-10-2020,Harford,110,0,0,0
237,04-10-2020,Howard,319,0,5,0
238,04-10-2020,Kent,9,0,0,0
239,04-10-2020,Montgomery,1388,0,34,0
240,04-10-2020,Prince George's,1716,0,42,0
241,04-10-2020,Queen Anne's,17,0,0,0
242,04-10-2020,Somerset,4,0,0,0
243,04-10-2020,St. Mary's,71,0,0,0
244,04-10-2020,Talbot,13,0,1,0
245,04-10-2020,Unassigned,0,0,0,0
246,04-10-2020,Washington,66,0,0,0
247,04-10-2020,Wicomico,28,0,1,0
248,04-10-2020,Worcester,16,0,0,0
249,04-11-2020,Allegany,11,0,0,0
250,04-11-2020,Anne Arundel,615,0,19,0
251,04-11-2020,Baltimore,1173,0,26,0
252,04-11-2020,Baltimore City,756,0,22,0
253,04-11-2020,Calvert,82,0,1,0
254,04-11-2020,Caroline,15,0,0,0
255,04-11-2020,Carroll,214,0,25,0
