,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Barnstable,255,0,3,0
1,04-01-2020,Berkshire,183,0,4,0
2,04-01-2020,Bristol,366,0,3,0
3,04-01-2020,Dukes and Nantucket,11,0,0,0
4,04-01-2020,Essex,885,0,17,0
5,04-01-2020,Franklin,72,0,7,0
6,04-01-2020,Hampden,475,0,16,0
7,04-01-2020,Hampshire,81,0,1,0
8,04-01-2020,Middlesex,1582,0,20,0
9,04-01-2020,Norfolk,829,0,15,0
10,04-01-2020,Plymouth,561,0,5,0
11,04-01-2020,Suffolk,1624,0,13,0
12,04-01-2020,Unassigned,251,0,9,0
13,04-01-2020,Worcester,563,0,9,0
14,04-02-2020,Barnstable,283,0,3,0
15,04-02-2020,Berkshire,213,0,5,0
16,04-02-2020,Bristol,424,0,3,0
17,04-02-2020,Dukes and Nantucket,12,0,0,0
18,04-02-2020,Essex,1039,0,18,0
19,04-02-2020,Franklin,85,0,8,0
20,04-02-2020,Hampden,546,0,19,0
21,04-02-2020,Hampshire,102,0,2,0
22,04-02-2020,Middlesex,1870,0,28,0
23,04-02-2020,Norfolk,938,0,21,0
24,04-02-2020,Plymouth,621,0,6,0
25,04-02-2020,Suffolk,1896,0,19,0
26,04-02-2020,Unassigned,270,0,9,0
27,04-02-2020,Worcester,667,0,13,0
28,04-03-2020,Barnstable,314,0,6,0
29,04-03-2020,Berkshire,240,0,5,0
30,04-03-2020,Bristol,517,0,4,0
31,04-03-2020,Dukes and Nantucket,16,0,0,0
32,04-03-2020,Essex,1238,0,23,0
33,04-03-2020,Franklin,89,0,11,0
34,04-03-2020,Hampden,661,0,27,0
35,04-03-2020,Hampshire,114,0,3,0
36,04-03-2020,Middlesex,2202,0,38,0
37,04-03-2020,Norfolk,1045,0,24,0
38,04-03-2020,Plymouth,745,0,7,0
39,04-03-2020,Suffolk,2183,0,21,0
40,04-03-2020,Unassigned,213,0,9,0
41,04-03-2020,Worcester,825,0,14,0
42,04-04-2020,Barnstable,330,0,6,0
43,04-04-2020,Berkshire,253,0,8,0
44,04-04-2020,Bristol,601,0,5,0
45,04-04-2020,Dukes and Nantucket,16,0,0,0
46,04-04-2020,Essex,1400,0,25,0
47,04-04-2020,Franklin,95,0,12,0
48,04-04-2020,Hampden,733,0,34,0
49,04-04-2020,Hampshire,125,0,3,0
50,04-04-2020,Middlesex,2468,0,38,0
51,04-04-2020,Norfolk,1199,0,25,0
52,04-04-2020,Plymouth,898,0,8,0
53,04-04-2020,Suffolk,2429,0,26,0
54,04-04-2020,Unassigned,274,0,9,0
55,04-04-2020,Worcester,915,0,17,0
56,04-05-2020,Barnstable,347,0,6,0
57,04-05-2020,Berkshire,258,0,11,0
58,04-05-2020,Bristol,659,0,8,0
59,04-05-2020,Dukes and Nantucket,17,0,0,0
60,04-05-2020,Essex,1506,0,27,0
61,04-05-2020,Franklin,100,0,12,0
62,04-05-2020,Hampden,768,0,34,0
63,04-05-2020,Hampshire,128,0,3,0
64,04-05-2020,Middlesex,2632,0,41,0
65,04-05-2020,Norfolk,1271,0,26,0
66,04-05-2020,Plymouth,963,0,10,0
67,04-05-2020,Suffolk,2658,0,27,0
68,04-05-2020,Unassigned,215,0,9,0
69,04-05-2020,Worcester,978,0,17,0
70,04-06-2020,Barnstable,383,0,7,0
71,04-06-2020,Berkshire,268,0,11,0
72,04-06-2020,Bristol,722,0,8,0
73,04-06-2020,Dukes and Nantucket,17,0,1,0
74,04-06-2020,Essex,1653,0,29,0
75,04-06-2020,Franklin,107,0,13,0
76,04-06-2020,Hampden,889,0,38,0
77,04-06-2020,Hampshire,147,0,3,0
78,04-06-2020,Middlesex,2950,0,47,0
79,04-06-2020,Norfolk,1382,0,29,0
80,04-06-2020,Plymouth,1067,0,15,0
81,04-06-2020,Suffolk,2929,0,31,0
82,04-06-2020,Unassigned,246,0,10,0
83,04-06-2020,Worcester,1077,0,18,0
84,04-07-2020,Barnstable,405,0,10,0
85,04-07-2020,Berkshire,278,0,16,0
86,04-07-2020,Bristol,768,0,16,0
87,04-07-2020,Dukes and Nantucket,18,0,1,0
88,04-07-2020,Essex,1841,0,35,0
89,04-07-2020,Franklin,118,0,17,0
90,04-07-2020,Hampden,997,0,55,0
91,04-07-2020,Hampshire,158,0,3,0
92,04-07-2020,Middlesex,3187,0,68,0
93,04-07-2020,Norfolk,1592,0,35,0
94,04-07-2020,Plymouth,1194,0,26,0
95,04-07-2020,Suffolk,3245,0,40,0
96,04-07-2020,Unassigned,229,0,11,0
97,04-07-2020,Worcester,1172,0,23,0
98,04-08-2020,Barnstable,423,0,11,0
99,04-08-2020,Berkshire,281,0,18,0
100,04-08-2020,Bristol,835,0,23,0
101,04-08-2020,Dukes and Nantucket,17,0,1,0
102,04-08-2020,Essex,2103,0,50,0
103,04-08-2020,Franklin,117,0,21,0
104,04-08-2020,Hampden,1081,0,62,0
105,04-08-2020,Hampshire,164,0,3,0
106,04-08-2020,Middlesex,3545,0,80,0
107,04-08-2020,Norfolk,1778,0,41,0
108,04-08-2020,Plymouth,1327,0,33,0
109,04-08-2020,Suffolk,3600,0,48,0
110,04-08-2020,Unassigned,223,0,13,0
111,04-08-2020,Worcester,1296,0,29,0
112,04-09-2020,Barnstable,444,0,11,0
113,04-09-2020,Berkshire,304,0,18,0
114,04-09-2020,Bristol,994,0,23,0
115,04-09-2020,Dukes and Nantucket,18,0,1,0
116,04-09-2020,Essex,2336,0,50,0
117,04-09-2020,Franklin,128,0,21,0
118,04-09-2020,Hampden,1276,0,62,0
119,04-09-2020,Hampshire,177,0,3,0
120,04-09-2020,Middlesex,4045,0,80,0
121,04-09-2020,Norfolk,2007,0,41,0
122,04-09-2020,Plymouth,1507,0,33,0
123,04-09-2020,Suffolk,4041,0,48,0
124,04-09-2020,Unassigned,203,0,83,0
125,04-09-2020,Worcester,1461,0,29,0
126,04-10-2020,Barnstable,464,0,11,0
127,04-10-2020,Berkshire,329,0,18,0
128,04-10-2020,Bristol,1086,0,23,0
129,04-10-2020,Dukes and Nantucket,21,0,1,0
130,04-10-2020,Essex,2670,0,50,0
131,04-10-2020,Franklin,135,0,21,0
132,04-10-2020,Hampden,1394,0,62,0
133,04-10-2020,Hampshire,194,0,3,0
134,04-10-2020,Middlesex,4447,0,80,0
135,04-10-2020,Norfolk,2216,0,41,0
136,04-10-2020,Plymouth,1677,0,33,0
137,04-10-2020,Suffolk,4534,0,48,0
138,04-10-2020,Unassigned,129,0,179,0
139,04-10-2020,Worcester,1678,0,29,0
140,04-11-2020,Barnstable,480,0,15,0
141,04-11-2020,Berkshire,336,0,20,0
142,04-11-2020,Bristol,1191,0,39,0
143,04-11-2020,Dukes and Nantucket,21,0,1,0
144,04-11-2020,Essex,2896,0,91,0
145,04-11-2020,Franklin,138,0,23,0
146,04-11-2020,Hampden,1545,0,92,0
147,04-11-2020,Hampshire,204,0,5,0
148,04-11-2020,Middlesex,4872,0,137,0
149,04-11-2020,Norfolk,2395,0,79,0
150,04-11-2020,Plymouth,1809,0,51,0
151,04-11-2020,Suffolk,4926,0,79,0
152,04-11-2020,Unassigned,225,0,13,0
153,04-11-2020,Worcester,1822,0,41,0
154,04-12-2020,Barnstable,501,0,16,485
155,04-12-2020,Berkshire,350,0,20,330
156,04-12-2020,Bristol,1327,0,43,1284
157,04-12-2020,Dukes and Nantucket,21,0,1,20
158,04-12-2020,Essex,3170,0,101,3069
159,04-12-2020,Franklin,143,0,25,118
160,04-12-2020,Hampden,1647,0,102,1545
161,04-12-2020,Hampshire,219,0,6,213
162,04-12-2020,Middlesex,5660,0,149,5511
163,04-12-2020,Norfolk,2649,0,91,2558
164,04-12-2020,Plymouth,2024,0,55,1969
165,04-12-2020,Suffolk,5359,0,86,5273
166,04-12-2020,Unassigned,373,0,12,361
167,04-12-2020,Worcester,2032,0,49,1983
168,04-13-2020,Barnstable,502,0,16,486
169,04-13-2020,Berkshire,355,0,20,335
170,04-13-2020,Bristol,1394,0,43,1351
171,04-13-2020,Dukes and Nantucket,21,0,1,20
172,04-13-2020,Essex,3413,0,101,3312
173,04-13-2020,Franklin,148,0,25,123
174,04-13-2020,Hampden,1694,0,102,1592
175,04-13-2020,Hampshire,224,0,6,218
176,04-13-2020,Middlesex,5983,0,149,5834
177,04-13-2020,Norfolk,2838,0,91,2747
178,04-13-2020,Plymouth,2141,0,55,2086
179,04-13-2020,Suffolk,5579,0,86,5493
180,04-13-2020,Unassigned,447,0,100,347
181,04-13-2020,Worcester,2128,0,49,2079
182,04-14-2020,Barnstable,514,0,16,498
183,04-14-2020,Berkshire,360,0,20,340
184,04-14-2020,Bristol,1435,0,43,1392
185,04-14-2020,Dukes and Nantucket,21,0,1,20
186,04-14-2020,Essex,3594,0,101,3493
187,04-14-2020,Franklin,155,0,25,130
188,04-14-2020,Hampden,1798,0,102,1696
189,04-14-2020,Hampshire,233,0,6,227
190,04-14-2020,Middlesex,6254,0,149,6105
