,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Albany,240,0,1,0
1,04-01-2020,Allegany,10,0,1,0
2,04-01-2020,Broome,42,0,3,0
3,04-01-2020,Cattaraugus,7,0,0,0
4,04-01-2020,Cayuga,4,0,0,0
5,04-01-2020,Chautauqua,8,0,1,0
6,04-01-2020,Chemung,22,0,0,0
7,04-01-2020,Chenango,26,0,0,0
8,04-01-2020,Clinton,25,0,0,0
9,04-01-2020,Columbia,41,0,1,0
10,04-01-2020,Cortland,10,0,0,0
11,04-01-2020,Delaware,20,0,0,0
12,04-01-2020,Dutchess,547,0,4,0
13,04-01-2020,Erie,582,0,11,0
14,04-01-2020,Essex,6,0,0,0
15,04-01-2020,Franklin,9,0,0,0
16,04-01-2020,Fulton,2,0,0,0
17,04-01-2020,Genesee,13,0,1,0
18,04-01-2020,Greene,18,0,0,0
19,04-01-2020,Hamilton,2,0,0,0
20,04-01-2020,Herkimer,12,0,2,0
21,04-01-2020,Jefferson,12,0,0,0
22,04-01-2020,Lewis,2,0,0,0
23,04-01-2020,Livingston,18,0,0,0
24,04-01-2020,Madison,62,0,2,0
25,04-01-2020,Monroe,349,0,9,0
26,04-01-2020,Montgomery,7,0,0,0
27,04-01-2020,Nassau,9554,0,76,0
28,04-01-2020,New York City,47439,0,1139,0
29,04-01-2020,Niagara,46,0,0,0
30,04-01-2020,Oneida,50,0,1,0
31,04-01-2020,Onondaga,277,0,1,0
32,04-01-2020,Ontario,24,0,0,0
33,04-01-2020,Orange,1756,0,19,0
34,04-01-2020,Orleans,6,0,0,0
35,04-01-2020,Oswego,20,0,0,0
36,04-01-2020,Otsego,19,0,1,0
37,04-01-2020,Putnam,207,0,0,0
38,04-01-2020,Rensselaer,55,0,0,0
39,04-01-2020,Rockland,3321,0,18,0
40,04-01-2020,Saratoga,122,0,1,0
41,04-01-2020,Schenectady,93,0,1,0
42,04-01-2020,Schoharie,9,0,0,0
43,04-01-2020,Schuyler,2,0,0,0
44,04-01-2020,Seneca,2,0,0,0
45,04-01-2020,St. Lawrence,34,0,0,0
46,04-01-2020,Steuben,38,0,0,0
47,04-01-2020,Suffolk,7605,0,53,0
48,04-01-2020,Sullivan,121,0,1,0
49,04-01-2020,Tioga,8,0,0,0
50,04-01-2020,Tompkins,76,0,0,0
51,04-01-2020,Ulster,222,0,3,0
52,04-01-2020,Unassigned,0,0,565,0
53,04-01-2020,Warren,18,0,0,0
54,04-01-2020,Washington,11,0,0,0
55,04-01-2020,Wayne,24,0,0,0
56,04-01-2020,Westchester,10683,0,25,0
57,04-01-2020,Wyoming,10,0,1,0
58,04-02-2020,Albany,253,0,2,0
59,04-02-2020,Allegany,12,0,1,0
60,04-02-2020,Broome,46,0,4,0
61,04-02-2020,Cattaraugus,8,0,0,0
62,04-02-2020,Cayuga,4,0,0,0
63,04-02-2020,Chautauqua,8,0,1,0
64,04-02-2020,Chemung,22,0,0,0
65,04-02-2020,Chenango,28,0,0,0
66,04-02-2020,Clinton,25,0,0,0
67,04-02-2020,Columbia,45,0,1,0
68,04-02-2020,Cortland,11,0,0,0
69,04-02-2020,Delaware,22,0,0,0
70,04-02-2020,Dutchess,667,0,5,0
71,04-02-2020,Erie,617,0,12,0
72,04-02-2020,Essex,7,0,0,0
73,04-02-2020,Franklin,9,0,0,0
74,04-02-2020,Fulton,6,0,0,0
75,04-02-2020,Genesee,16,0,1,0
76,04-02-2020,Greene,21,0,0,0
77,04-02-2020,Hamilton,2,0,0,0
78,04-02-2020,Herkimer,14,0,2,0
79,04-02-2020,Jefferson,15,0,0,0
80,04-02-2020,Lewis,2,0,0,0
81,04-02-2020,Livingston,18,0,1,0
82,04-02-2020,Madison,68,0,2,0
83,04-02-2020,Monroe,420,0,9,0
84,04-02-2020,Montgomery,8,0,0,0
85,04-02-2020,Nassau,10587,0,76,0
86,04-02-2020,New York City,51809,0,1397,0
87,04-02-2020,Niagara,91,0,0,0
88,04-02-2020,Oneida,61,0,1,0
89,04-02-2020,Onondaga,301,0,2,0
90,04-02-2020,Ontario,26,0,0,0
91,04-02-2020,Orange,1993,0,19,0
92,04-02-2020,Orleans,6,0,0,0
93,04-02-2020,Oswego,23,0,0,0
94,04-02-2020,Otsego,21,0,1,0
95,04-02-2020,Putnam,216,0,0,0
96,04-02-2020,Rensselaer,60,0,0,0
97,04-02-2020,Rockland,3751,0,18,0
98,04-02-2020,Saratoga,132,0,1,0
99,04-02-2020,Schenectady,101,0,1,0
100,04-02-2020,Schoharie,9,0,0,0
101,04-02-2020,Schuyler,3,0,0,0
102,04-02-2020,Seneca,4,0,0,0
103,04-02-2020,St. Lawrence,39,0,0,0
104,04-02-2020,Steuben,43,0,0,0
105,04-02-2020,Suffolk,8746,0,69,0
106,04-02-2020,Sullivan,143,0,4,0
107,04-02-2020,Tioga,8,0,0,0
108,04-02-2020,Tompkins,80,0,0,0
109,04-02-2020,Ulster,240,0,3,0
110,04-02-2020,Unassigned,0,0,675,0
111,04-02-2020,Warren,18,0,0,0
112,04-02-2020,Washington,12,0,0,0
113,04-02-2020,Wayne,27,0,0,0
114,04-02-2020,Westchester,11567,0,64,0
115,04-02-2020,Wyoming,14,0,1,0
116,04-02-2020,Yates,1,0,0,0
117,04-03-2020,Albany,267,0,2,0
118,04-03-2020,Allegany,14,0,1,0
119,04-03-2020,Broome,56,0,4,0
