,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Addison,24,0,0,0
1,04-01-2020,Bennington,18,0,0,0
2,04-01-2020,Caledonia,3,0,0,0
3,04-01-2020,Chittenden,164,0,4,0
4,04-01-2020,Franklin,15,0,0,0
5,04-01-2020,Lamoille,13,0,0,0
6,04-01-2020,Orange,4,0,0,0
7,04-01-2020,Orleans,7,0,0,0
8,04-01-2020,Rutland,10,0,0,0
9,04-01-2020,Unassigned,14,0,11,0
10,04-01-2020,Washington,15,0,0,0
11,04-01-2020,Windham,16,0,0,0
12,04-01-2020,Windsor,18,0,1,0
13,04-02-2020,Addison,26,0,0,0
14,04-02-2020,Bennington,17,0,0,0
15,04-02-2020,Caledonia,4,0,0,0
16,04-02-2020,Chittenden,177,0,4,0
17,04-02-2020,Franklin,16,0,0,0
18,04-02-2020,Lamoille,14,0,0,0
19,04-02-2020,Orange,4,0,0,0
20,04-02-2020,Orleans,7,0,0,0
21,04-02-2020,Rutland,12,0,0,0
22,04-02-2020,Unassigned,5,0,12,0
23,04-02-2020,Washington,18,0,0,0
24,04-02-2020,Windham,18,0,0,0
25,04-02-2020,Windsor,20,0,1,0
26,04-03-2020,Addison,32,0,0,0
27,04-03-2020,Bennington,19,0,0,0
28,04-03-2020,Caledonia,4,0,0,0
29,04-03-2020,Chittenden,199,0,4,0
30,04-03-2020,Franklin,21,0,0,0
31,04-03-2020,Lamoille,17,0,0,0
32,04-03-2020,Orange,4,0,0,0
33,04-03-2020,Orleans,8,0,0,0
34,04-03-2020,Rutland,17,0,0,0
35,04-03-2020,Unassigned,6,0,12,0
36,04-03-2020,Washington,21,0,0,0
37,04-03-2020,Windham,21,0,0,0
38,04-03-2020,Windsor,20,0,1,0
39,04-04-2020,Addison,34,0,0,0
40,04-04-2020,Bennington,23,0,0,0
41,04-04-2020,Caledonia,5,0,0,0
42,04-04-2020,Chittenden,245,0,4,0
43,04-04-2020,Franklin,23,0,0,0
44,04-04-2020,Lamoille,17,0,0,0
