,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Accomack,7,0,0,0
1,04-01-2020,Albemarle,21,0,0,0
2,04-01-2020,Alexandria,32,0,0,0
3,04-01-2020,Alleghany,1,0,0,0
4,04-01-2020,Amelia,2,0,0,0
5,04-01-2020,Amherst,5,0,0,0
6,04-01-2020,Arlington,119,0,2,0
7,04-01-2020,Augusta,1,0,0,0
8,04-01-2020,Bedford,3,0,0,0
9,04-01-2020,Botetourt,6,0,0,0
10,04-01-2020,Bristol,1,0,0,0
11,04-01-2020,Brunswick,1,0,0,0
12,04-01-2020,Buckingham,2,0,0,0
13,04-01-2020,Campbell,2,0,0,0
14,04-01-2020,Carroll,1,0,0,0
15,04-01-2020,Charles City,2,0,0,0
16,04-01-2020,Charlottesville,16,0,0,0
17,04-01-2020,Chesapeake,31,0,0,0
18,04-01-2020,Chesterfield,59,0,0,0
19,04-01-2020,Covington,1,0,0,0
20,04-01-2020,Culpeper,5,0,0,0
21,04-01-2020,Danville,4,0,0,0
22,04-01-2020,Fairfax,288,0,2,0
23,04-01-2020,Fairfax City,0,0,0,0
24,04-01-2020,Fauquier,7,0,0,0
25,04-01-2020,Fluvanna,3,0,0,0
26,04-01-2020,Franklin,5,0,0,0
27,04-01-2020,Franklin City,1,0,0,0
28,04-01-2020,Frederick,15,0,0,0
29,04-01-2020,Fredericksburg,1,0,0,0
30,04-01-2020,Galax,1,0,0,0
31,04-01-2020,Gloucester,8,0,0,0
32,04-01-2020,Goochland,7,0,0,0
33,04-01-2020,Greene,1,0,0,0
34,04-01-2020,Greensville,3,0,0,0
35,04-01-2020,Halifax,1,0,0,0
36,04-01-2020,Hampton,14,0,1,0
37,04-01-2020,Hanover,6,0,0,0
38,04-01-2020,Harrisonburg,10,0,0,0
39,04-01-2020,Henrico,78,0,2,0
40,04-01-2020,Henry,2,0,0,0
41,04-01-2020,Hopewell,4,0,0,0
42,04-01-2020,Isle of Wight,5,0,0,0
43,04-01-2020,James City,95,0,2,0
44,04-01-2020,King George,4,0,0,0
45,04-01-2020,King William,1,0,0,0
46,04-01-2020,King and Queen,1,0,0,0
47,04-01-2020,Lancaster,1,0,0,0
48,04-01-2020,Lee,2,0,0,0
49,04-01-2020,Loudoun,105,0,1,0
50,04-01-2020,Louisa,12,0,0,0
51,04-01-2020,Lynchburg,7,0,0,0
52,04-01-2020,Madison,3,0,0,0
53,04-01-2020,Manassas,9,0,0,0
54,04-01-2020,Manassas Park,1,0,0,0
55,04-01-2020,Mathews,2,0,0,0
56,04-01-2020,Mecklenburg,4,0,0,0
57,04-01-2020,Montgomery,1,0,0,0
58,04-01-2020,Nelson,2,0,0,0
59,04-01-2020,New Kent,1,0,0,0
60,04-01-2020,Newport News,29,0,1,0
61,04-01-2020,Norfolk,33,0,0,0
62,04-01-2020,Northampton,1,0,0,0
63,04-01-2020,Northumberland,3,0,0,0
64,04-01-2020,Nottoway,1,0,0,0
65,04-01-2020,Orange,4,0,0,0
66,04-01-2020,Page,1,0,0,0
67,04-01-2020,Petersburg,4,0,0,0
68,04-01-2020,Pittsylvania,1,0,0,0
69,04-01-2020,Poquoson,3,0,0,0
70,04-01-2020,Portsmouth,13,0,0,0
71,04-01-2020,Powhatan,3,0,0,0
72,04-01-2020,Prince Edward,2,0,0,0
73,04-01-2020,Prince George,8,0,0,0
74,04-01-2020,Prince William,106,0,1,0
75,04-01-2020,Radford,1,0,0,0
76,04-01-2020,Richmond City,33,0,0,0
77,04-01-2020,Roanoke,4,0,0,0
78,04-01-2020,Roanoke City,6,0,0,0
79,04-01-2020,Rockbridge,2,0,0,0
80,04-01-2020,Rockingham,9,0,0,0
81,04-01-2020,Shenandoah,8,0,0,0
82,04-01-2020,Smyth,2,0,0,0
83,04-01-2020,Southampton,1,0,0,0
84,04-01-2020,Spotsylvania,8,0,0,0
85,04-01-2020,Stafford,28,0,0,0
86,04-01-2020,Suffolk,5,0,0,0
87,04-01-2020,Surry,1,0,0,0
88,04-01-2020,Sussex,1,0,0,0
89,04-01-2020,Tazewell,2,0,0,0
90,04-01-2020,Unassigned,0,0,19,0
91,04-01-2020,Virginia Beach,88,0,1,0
92,04-01-2020,Warren,3,0,0,0
93,04-01-2020,Washington,2,0,0,0
94,04-01-2020,Waynesboro,2,0,0,0
95,04-01-2020,Williamsburg,9,0,1,0
96,04-01-2020,Winchester,5,0,0,0
97,04-01-2020,Wythe,2,0,0,0
98,04-01-2020,York,16,0,1,0
99,04-02-2020,Accomack,10,0,0,0
100,04-02-2020,Albemarle,23,0,0,0
101,04-02-2020,Alexandria,33,0,0,0
102,04-02-2020,Alleghany,2,0,0,0
103,04-02-2020,Amelia,4,0,0,0
104,04-02-2020,Amherst,6,0,0,0
105,04-02-2020,Arlington,128,0,2,0
106,04-02-2020,Augusta,2,0,0,0
107,04-02-2020,Bedford,3,0,0,0
108,04-02-2020,Botetourt,8,0,0,0
109,04-02-2020,Bristol,1,0,0,0
110,04-02-2020,Brunswick,1,0,0,0
111,04-02-2020,Buckingham,2,0,0,0
112,04-02-2020,Campbell,2,0,0,0
113,04-02-2020,Carroll,1,0,0,0
114,04-02-2020,Charles City,4,0,0,0
