,Date,City,Confirmed,Recoverd,Deaths,Active
0,04-01-2020,Adams,14,0,0,0
1,04-01-2020,Benton,108,0,16,0
2,04-01-2020,Chelan,17,0,2,0
3,04-01-2020,Clallam,8,0,0,0
4,04-01-2020,Clark,130,0,7,0
5,04-01-2020,Columbia,1,0,0,0
6,04-01-2020,Cowlitz,14,0,0,0
7,04-01-2020,Douglas,5,0,0,0
8,04-01-2020,Ferry,1,0,0,0
9,04-01-2020,Franklin,33,0,1,0
10,04-01-2020,Grant,63,0,1,0
11,04-01-2020,Grays Harbor,2,0,0,0
12,04-01-2020,Island,109,0,4,0
13,04-01-2020,Jefferson,17,0,0,0
14,04-01-2020,King,2330,0,193,0
15,04-01-2020,Kitsap,74,0,0,0
16,04-01-2020,Kittitas,9,0,0,0
17,04-01-2020,Klickitat,9,0,1,0
18,04-01-2020,Lewis,10,0,0,0
19,04-01-2020,Lincoln,1,0,0,0
20,04-01-2020,Mason,6,0,0,0
21,04-01-2020,Okanogan,3,0,0,0
22,04-01-2020,Pierce,377,0,8,0
23,04-01-2020,San Juan,4,0,0,0
24,04-01-2020,Skagit,128,0,4,0
25,04-01-2020,Skamania,1,0,0,0
26,04-01-2020,Snohomish,1304,0,47,0
27,04-01-2020,Spokane,158,0,5,0
28,04-01-2020,Stevens,4,0,0,0
29,04-01-2020,Thurston,48,0,0,0
30,04-01-2020,Unassigned,303,0,0,0
31,04-01-2020,Walla Walla,7,0,0,0
32,04-01-2020,Whatcom,139,0,11,0
33,04-01-2020,Whitman,10,0,0,0
34,04-01-2020,Yakima,161,0,10,0
35,04-02-2020,Adams,20,0,0,0
36,04-02-2020,Benton,130,0,19,0
37,04-02-2020,Chelan,18,0,2,0
38,04-02-2020,Clallam,8,0,0,0
39,04-02-2020,Clark,131,0,8,0
40,04-02-2020,Columbia,1,0,0,0
41,04-02-2020,Cowlitz,18,0,0,0
42,04-02-2020,Douglas,6,0,0,0
43,04-02-2020,Ferry,1,0,0,0
44,04-02-2020,Franklin,41,0,1,0
45,04-02-2020,Grant,73,0,1,0
46,04-02-2020,Grays Harbor,2,0,0,0
47,04-02-2020,Island,114,0,5,0
48,04-02-2020,Jefferson,19,0,0,0
49,04-02-2020,King,2656,0,204,0
50,04-02-2020,Kitsap,83,0,0,0
51,04-02-2020,Kittitas,10,0,0,0
52,04-02-2020,Klickitat,9,0,1,0
53,04-02-2020,Lewis,10,0,0,0
54,04-02-2020,Lincoln,1,0,0,0
55,04-02-2020,Mason,11,0,0,0
56,04-02-2020,Okanogan,3,0,0,0
57,04-02-2020,Pierce,498,0,10,0
58,04-02-2020,San Juan,6,0,0,0
59,04-02-2020,Skagit,143,0,4,0
60,04-02-2020,Skamania,1,0,0,0
61,04-02-2020,Snohomish,1376,0,52,0
62,04-02-2020,Spokane,182,0,7,0
63,04-02-2020,Stevens,5,0,0,0
64,04-02-2020,Thurston,51,0,0,0
65,04-02-2020,Unassigned,344,0,0,0
66,04-02-2020,Walla Walla,8,0,0,0
67,04-02-2020,Whatcom,175,0,14,0
68,04-02-2020,Whitman,11,0,0,0
69,04-02-2020,Yakima,224,0,12,0
70,04-03-2020,Adams,20,0,0,0
71,04-03-2020,Benton,136,0,21,0
72,04-03-2020,Chelan,20,0,2,0
73,04-03-2020,Clallam,8,0,0,0
74,04-03-2020,Clark,137,0,9,0
75,04-03-2020,Columbia,1,0,0,0
76,04-03-2020,Cowlitz,18,0,0,0
77,04-03-2020,Douglas,6,0,0,0
78,04-03-2020,Ferry,1,0,0,0
79,04-03-2020,Franklin,45,0,1,0
80,04-03-2020,Grant,75,0,2,0
81,04-03-2020,Grays Harbor,2,0,0,0
82,04-03-2020,Island,119,0,5,0
83,04-03-2020,Jefferson,19,0,0,0
84,04-03-2020,King,2787,0,217,0
85,04-03-2020,Kitsap,95,0,0,0
86,04-03-2020,Kittitas,10,0,0,0
87,04-03-2020,Klickitat,9,0,1,0
88,04-03-2020,Lewis,12,0,1,0
89,04-03-2020,Lincoln,1,0,0,0
90,04-03-2020,Mason,13,0,0,0
91,04-03-2020,Okanogan,4,0,0,0
92,04-03-2020,Pend Oreille,1,0,0,0
93,04-03-2020,Pierce,571,0,10,0
94,04-03-2020,San Juan,6,0,0,0
95,04-03-2020,Skagit,153,0,4,0
96,04-03-2020,Skamania,1,0,0,0
97,04-03-2020,Snohomish,1376,0,54,0
98,04-03-2020,Spokane,194,0,11,0
99,04-03-2020,Stevens,5,0,0,0
100,04-03-2020,Thurston,58,0,1,0
101,04-03-2020,Unassigned,501,0,0,0
102,04-03-2020,Wahkiakum,1,0,0,0
103,04-03-2020,Walla Walla,8,0,0,0
104,04-03-2020,Whatcom,182,0,15,0
105,04-03-2020,Whitman,11,0,0,0
106,04-03-2020,Yakima,240,0,15,0
107,04-04-2020,Adams,20,0,0,0
108,04-04-2020,Asotin,1,0,0,0
109,04-04-2020,Benton,151,0,24,0
110,04-04-2020,Chelan,24,0,2,0
111,04-04-2020,Clallam,8,0,0,0
112,04-04-2020,Clark,137,0,9,0
113,04-04-2020,Columbia,1,0,0,0
114,04-04-2020,Cowlitz,18,0,0,0
115,04-04-2020,Douglas,9,0,0,0
116,04-04-2020,Ferry,1,0,0,0
117,04-04-2020,Franklin,46,0,2,0
118,04-04-2020,Grant,77,0,2,0
119,04-04-2020,Grays Harbor,3,0,0,0
120,04-04-2020,Island,122,0,6,0
121,04-04-2020,Jefferson,19,0,0,0
122,04-04-2020,King,2898,0,229,0
123,04-04-2020,Kitsap,99,0,0,0
124,04-04-2020,Kittitas,10,0,0,0
125,04-04-2020,Klickitat,9,0,1,0
126,04-04-2020,Lewis,13,0,1,0
127,04-04-2020,Lincoln,1,0,0,0
128,04-04-2020,Mason,13,0,0,0
129,04-04-2020,Okanogan,6,0,0,0
130,04-04-2020,Pend Oreille,1,0,0,0
131,04-04-2020,Pierce,620,0,14,0
132,04-04-2020,San Juan,6,0,0,0
133,04-04-2020,Skagit,161,0,4,0
134,04-04-2020,Skamania,1,0,0,0
135,04-04-2020,Snohomish,1503,0,58,0
136,04-04-2020,Spokane,209,0,11,0
137,04-04-2020,Stevens,5,0,0,0
138,04-04-2020,Thurston,64,0,1,0
139,04-04-2020,Unassigned,483,0,0,0
140,04-04-2020,Wahkiakum,1,0,0,0
141,04-04-2020,Walla Walla,8,0,0,0
142,04-04-2020,Whatcom,199,0,18,0
143,04-04-2020,Whitman,11,0,0,0
144,04-04-2020,Yakima,289,0,16,0
145,04-05-2020,Adams,23,0,0,0
146,04-05-2020,Asotin,2,0,0,0
147,04-05-2020,Benton,164,0,26,0
148,04-05-2020,Chelan,29,0,2,0
149,04-05-2020,Clallam,8,0,0,0
150,04-05-2020,Clark,137,0,13,0
151,04-05-2020,Columbia,1,0,0,0
152,04-05-2020,Cowlitz,18,0,0,0
153,04-05-2020,Douglas,10,0,0,0
154,04-05-2020,Ferry,1,0,0,0
155,04-05-2020,Franklin,56,0,2,0
156,04-05-2020,Grant,80,0,2,0
157,04-05-2020,Grays Harbor,6,0,0,0
158,04-05-2020,Island,130,0,6,0
159,04-05-2020,Jefferson,20,0,0,0
160,04-05-2020,King,3167,0,245,0
161,04-05-2020,Kitsap,104,0,0,0
162,04-05-2020,Kittitas,10,0,0,0
163,04-05-2020,Klickitat,11,0,1,0
164,04-05-2020,Lewis,13,0,1,0
165,04-05-2020,Lincoln,1,0,0,0
166,04-05-2020,Mason,14,0,0,0
167,04-05-2020,Okanogan,7,0,0,0
168,04-05-2020,Pend Oreille,1,0,0,0
169,04-05-2020,Pierce,688,0,16,0
170,04-05-2020,San Juan,7,0,0,0
171,04-05-2020,Skagit,161,0,4,0
172,04-05-2020,Skamania,2,0,0,0
173,04-05-2020,Snohomish,1559,0,61,0
174,04-05-2020,Spokane,219,0,12,0
175,04-05-2020,Stevens,5,0,0,0
176,04-05-2020,Thurston,67,0,1,0
177,04-05-2020,Unassigned,533,0,0,0
178,04-05-2020,Wahkiakum,1,0,0,0
179,04-05-2020,Walla Walla,9,0,0,0
180,04-05-2020,Whatcom,224,0,18,0
181,04-05-2020,Whitman,11,0,0,0
182,04-05-2020,Yakima,326,0,16,0
183,04-06-2020,Adams,26,0,0,0
184,04-06-2020,Asotin,3,0,0,0
185,04-06-2020,Benton,175,0,28,0
186,04-06-2020,Chelan,29,0,2,0
187,04-06-2020,Clallam,8,0,0,0
188,04-06-2020,Clark,168,0,13,0
189,04-06-2020,Columbia,1,0,0,0
190,04-06-2020,Cowlitz,18,0,0,0
191,04-06-2020,Douglas,10,0,0,0
192,04-06-2020,Ferry,1,0,0,0
193,04-06-2020,Franklin,64,0,2,0
194,04-06-2020,Grant,88,0,2,0
195,04-06-2020,Grays Harbor,6,0,0,0
196,04-06-2020,Island,141,0,6,0
197,04-06-2020,Jefferson,22,0,0,0
198,04-06-2020,King,3331,0,258,0
199,04-06-2020,Kitsap,104,0,1,0
200,04-06-2020,Kittitas,12,0,0,0
201,04-06-2020,Klickitat,11,0,1,0
202,04-06-2020,Lewis,16,0,1,0
203,04-06-2020,Lincoln,1,0,0,0
204,04-06-2020,Mason,15,0,0,0
205,04-06-2020,Okanogan,9,0,0,0
206,04-06-2020,Pend Oreille,1,0,0,0
207,04-06-2020,Pierce,717,0,17,0
208,04-06-2020,San Juan,9,0,0,0
209,04-06-2020,Skagit,161,0,4,0
210,04-06-2020,Skamania,2,0,0,0
211,04-06-2020,Snohomish,1603,0,63,0
212,04-06-2020,Spokane,222,0,13,0
213,04-06-2020,Stevens,5,0,0,0
214,04-06-2020,Thurston,67,0,1,0
215,04-06-2020,Unassigned,648,0,0,0
216,04-06-2020,Wahkiakum,2,0,0,0
217,04-06-2020,Walla Walla,12,0,0,0
218,04-06-2020,Whatcom,228,0,19,0
219,04-06-2020,Whitman,12,0,0,0
220,04-06-2020,Yakima,363,0,19,0
221,04-07-2020,Adams,27,0,0,0
222,04-07-2020,Asotin,4,0,0,0
223,04-07-2020,Benton,176,0,29,0
224,04-07-2020,Chelan,34,0,2,0
225,04-07-2020,Clallam,8,0,0,0
226,04-07-2020,Clark,185,0,13,0
227,04-07-2020,Columbia,1,0,0,0
228,04-07-2020,Cowlitz,21,0,0,0
229,04-07-2020,Douglas,10,0,0,0
230,04-07-2020,Ferry,1,0,0,0
231,04-07-2020,Franklin,70,0,2,0
232,04-07-2020,Grant,88,0,2,0
233,04-07-2020,Grays Harbor,6,0,0,0
234,04-07-2020,Island,142,0,6,0
235,04-07-2020,Jefferson,27,0,0,0
236,04-07-2020,King,3486,0,273,0
